"Statistic","CensusYear","Sex","Travelling Time","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","< ¼ hour","After 09:30","Students at school or college aged between 13 and 18 years","Number","356"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","< ¼ hour","After 09:30","Students at school or college aged 19 years and over","Number","3186"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","< ¼ hour","Not stated","All persons","Number","2672"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","< ¼ hour","Not stated","Population aged 15 years and over at work","Number","1572"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","< ¼ hour","Not stated","Children at school aged between 5 and 12 years","Number","799"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","< ¼ hour","Not stated","Students at school or college aged between 13 and 18 years","Number","199"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","< ¼ hour","Not stated","Students at school or college aged 19 years and over","Number","102"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","All departure times","All persons","Number","430514"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","All departure times","Population aged 15 years and over at work","Number","279345"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","All departure times","Children at school aged between 5 and 12 years","Number","60544"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","All departure times","Students at school or college aged between 13 and 18 years","Number","64234"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","All departure times","Students at school or college aged 19 years and over","Number","26391"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","Before 06:30","All persons","Number","12412"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","Before 06:30","Population aged 15 years and over at work","Number","12198"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","Before 06:30","Children at school aged between 5 and 12 years","Number","37"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","Before 06:30","Students at school or college aged between 13 and 18 years","Number","50"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","Before 06:30","Students at school or college aged 19 years and over","Number","127"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","06:30 - 07:00","All persons","Number","18886"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","06:30 - 07:00","Population aged 15 years and over at work","Number","18096"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","166"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","199"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","06:30 - 07:00","Students at school or college aged 19 years and over","Number","425"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","07:01 - 07:30","All persons","Number","31223"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","07:01 - 07:30","Population aged 15 years and over at work","Number","27620"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","781"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","1976"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","07:01 - 07:30","Students at school or college aged 19 years and over","Number","846"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","07:31 - 08:00","All persons","Number","65634"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","07:31 - 08:00","Population aged 15 years and over at work","Number","43338"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","4227"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","15711"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","07:31 - 08:00","Students at school or college aged 19 years and over","Number","2358"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","08:01 - 08:30","All persons","Number","129489"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","08:01 - 08:30","Population aged 15 years and over at work","Number","65503"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","23000"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","34346"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","08:01 - 08:30","Students at school or college aged 19 years and over","Number","6640"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","08:31 - 09:00","All persons","Number","105385"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","08:31 - 09:00","Population aged 15 years and over at work","Number","58010"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","27604"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","10914"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","08:31 - 09:00","Students at school or college aged 19 years and over","Number","8857"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","09:01 - 09:30","All persons","Number","29597"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","09:01 - 09:30","Population aged 15 years and over at work","Number","21423"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","4368"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","574"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","09:01 - 09:30","Students at school or college aged 19 years and over","Number","3232"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","After 09:30","All persons","Number","35594"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","After 09:30","Population aged 15 years and over at work","Number","31447"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","After 09:30","Children at school aged between 5 and 12 years","Number","57"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","After 09:30","Students at school or college aged between 13 and 18 years","Number","301"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","After 09:30","Students at school or college aged 19 years and over","Number","3789"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","Not stated","All persons","Number","2294"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","Not stated","Population aged 15 years and over at work","Number","1710"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","Not stated","Children at school aged between 5 and 12 years","Number","304"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","Not stated","Students at school or college aged between 13 and 18 years","Number","163"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¼ hour - < ½ hour","Not stated","Students at school or college aged 19 years and over","Number","117"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","All departure times","All persons","Number","241265"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","All departure times","Population aged 15 years and over at work","Number","183616"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","All departure times","Children at school aged between 5 and 12 years","Number","11667"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","All departure times","Students at school or college aged between 13 and 18 years","Number","25658"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","All departure times","Students at school or college aged 19 years and over","Number","20324"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","Before 06:30","All persons","Number","9474"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","Before 06:30","Population aged 15 years and over at work","Number","9246"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","Before 06:30","Children at school aged between 5 and 12 years","Number","20"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","Before 06:30","Students at school or college aged between 13 and 18 years","Number","45"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","Before 06:30","Students at school or college aged 19 years and over","Number","163"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","06:30 - 07:00","All persons","Number","17576"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","06:30 - 07:00","Population aged 15 years and over at work","Number","16520"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","103"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","313"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","06:30 - 07:00","Students at school or college aged 19 years and over","Number","640"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","07:01 - 07:30","All persons","Number","31823"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","07:01 - 07:30","Population aged 15 years and over at work","Number","26962"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","567"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","2818"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","07:01 - 07:30","Students at school or college aged 19 years and over","Number","1476"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","07:31 - 08:00","All persons","Number","55003"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","07:31 - 08:00","Population aged 15 years and over at work","Number","36551"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","2364"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","12130"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","07:31 - 08:00","Students at school or college aged 19 years and over","Number","3958"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","08:01 - 08:30","All persons","Number","69247"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","08:01 - 08:30","Population aged 15 years and over at work","Number","48374"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","5617"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","8735"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","08:01 - 08:30","Students at school or college aged 19 years and over","Number","6521"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","08:31 - 09:00","All persons","Number","28819"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","08:31 - 09:00","Population aged 15 years and over at work","Number","21412"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","2717"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","1186"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","08:31 - 09:00","Students at school or college aged 19 years and over","Number","3504"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","09:01 - 09:30","All persons","Number","11071"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","09:01 - 09:30","Population aged 15 years and over at work","Number","8986"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","199"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","197"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","09:01 - 09:30","Students at school or college aged 19 years and over","Number","1689"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","After 09:30","All persons","Number","16987"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","After 09:30","Population aged 15 years and over at work","Number","14559"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","After 09:30","Children at school aged between 5 and 12 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","After 09:30","Students at school or college aged between 13 and 18 years","Number","164"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","After 09:30","Students at school or college aged 19 years and over","Number","2259"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","Not stated","All persons","Number","1265"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","Not stated","Population aged 15 years and over at work","Number","1006"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","Not stated","Children at school aged between 5 and 12 years","Number","75"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","Not stated","Students at school or college aged between 13 and 18 years","Number","70"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","½ hour - < ¾ hour","Not stated","Students at school or college aged 19 years and over","Number","114"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","All departure times","All persons","Number","82696"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","All departure times","Population aged 15 years and over at work","Number","67316"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","All departure times","Children at school aged between 5 and 12 years","Number","1724"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","All departure times","Students at school or college aged between 13 and 18 years","Number","5218"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","All departure times","Students at school or college aged 19 years and over","Number","8438"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","Before 06:30","All persons","Number","4431"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","Before 06:30","Population aged 15 years and over at work","Number","4311"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","Before 06:30","Children at school aged between 5 and 12 years","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","Before 06:30","Students at school or college aged between 13 and 18 years","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","Before 06:30","Students at school or college aged 19 years and over","Number","92"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","06:30 - 07:00","All persons","Number","9111"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","06:30 - 07:00","Population aged 15 years and over at work","Number","8459"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","56"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","165"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","06:30 - 07:00","Students at school or college aged 19 years and over","Number","431"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","07:01 - 07:30","All persons","Number","15000"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","07:01 - 07:30","Population aged 15 years and over at work","Number","12479"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","197"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","1147"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","07:01 - 07:30","Students at school or college aged 19 years and over","Number","1177"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","07:31 - 08:00","All persons","Number","22974"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","07:31 - 08:00","Population aged 15 years and over at work","Number","17289"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","544"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","2596"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","07:31 - 08:00","Students at school or college aged 19 years and over","Number","2545"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","08:01 - 08:30","All persons","Number","18312"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","08:01 - 08:30","Population aged 15 years and over at work","Number","14514"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","674"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","1060"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","08:01 - 08:30","Students at school or college aged 19 years and over","Number","2064"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","08:31 - 09:00","All persons","Number","5621"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","08:31 - 09:00","Population aged 15 years and over at work","Number","4439"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","195"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","118"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","08:31 - 09:00","Students at school or college aged 19 years and over","Number","869"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","09:01 - 09:30","All persons","Number","2425"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","09:01 - 09:30","Population aged 15 years and over at work","Number","1837"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","42"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","41"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","09:01 - 09:30","Students at school or college aged 19 years and over","Number","505"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","After 09:30","All persons","Number","4495"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","After 09:30","Population aged 15 years and over at work","Number","3723"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","After 09:30","Children at school aged between 5 and 12 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","After 09:30","Students at school or college aged between 13 and 18 years","Number","59"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","After 09:30","Students at school or college aged 19 years and over","Number","711"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","Not stated","All persons","Number","327"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","Not stated","Population aged 15 years and over at work","Number","265"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","Not stated","Children at school aged between 5 and 12 years","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","Not stated","Students at school or college aged between 13 and 18 years","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","¾ hour - < 1 hour","Not stated","Students at school or college aged 19 years and over","Number","44"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","All departure times","All persons","Number","75557"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","All departure times","Population aged 15 years and over at work","Number","59373"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","All departure times","Children at school aged between 5 and 12 years","Number","1280"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","All departure times","Students at school or college aged between 13 and 18 years","Number","3762"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","All departure times","Students at school or college aged 19 years and over","Number","11142"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","Before 06:30","All persons","Number","6169"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","Before 06:30","Population aged 15 years and over at work","Number","5802"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","Before 06:30","Children at school aged between 5 and 12 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","Before 06:30","Students at school or college aged between 13 and 18 years","Number","40"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","Before 06:30","Students at school or college aged 19 years and over","Number","302"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","06:30 - 07:00","All persons","Number","12159"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","06:30 - 07:00","Population aged 15 years and over at work","Number","10552"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","78"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","367"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","06:30 - 07:00","Students at school or college aged 19 years and over","Number","1162"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","07:01 - 07:30","All persons","Number","16939"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","07:01 - 07:30","Population aged 15 years and over at work","Number","13109"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","187"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","1154"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","07:01 - 07:30","Students at school or college aged 19 years and over","Number","2489"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","07:31 - 08:00","All persons","Number","19885"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","07:31 - 08:00","Population aged 15 years and over at work","Number","14902"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","399"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","1416"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","07:31 - 08:00","Students at school or college aged 19 years and over","Number","3168"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","08:01 - 08:30","All persons","Number","10178"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","08:01 - 08:30","Population aged 15 years and over at work","Number","7518"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","305"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","497"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","08:01 - 08:30","Students at school or college aged 19 years and over","Number","1858"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","08:31 - 09:00","All persons","Number","4120"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","08:31 - 09:00","Population aged 15 years and over at work","Number","2889"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","220"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","168"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","08:31 - 09:00","Students at school or college aged 19 years and over","Number","843"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","09:01 - 09:30","All persons","Number","1845"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","09:01 - 09:30","Population aged 15 years and over at work","Number","1306"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","58"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","1 hour - < 1½ hours","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","35"
