"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town or Rural Area","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","09:01 - 09:30","All persons","Number","124"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","09:01 - 09:30","Population aged 15 years and over at work","Number","87"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","After 09:30","All persons","Number","139"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","After 09:30","Population aged 15 years and over at work","Number","137"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","After 09:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","After 09:30","Students at school or college aged 19 years and over","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","Not stated","All persons","Number","19"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","Not stated","Population aged 15 years and over at work","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","Not stated","Children at school aged between 5 and 12 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","Not stated","Students at school or college aged between 13 and 18 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Town Area","Not stated","Students at school or college aged 19 years and over","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","All departure times","All persons","Number","1974"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","All departure times","Population aged 15 years and over at work","Number","1559"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","All departure times","Children at school aged between 5 and 12 years","Number","220"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","All departure times","Students at school or college aged between 13 and 18 years","Number","151"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","All departure times","Students at school or college aged 19 years and over","Number","44"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","Before 06:30","All persons","Number","172"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","Before 06:30","Population aged 15 years and over at work","Number","168"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","Before 06:30","Children at school aged between 5 and 12 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","Before 06:30","Students at school or college aged 19 years and over","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","06:30 - 07:00","All persons","Number","145"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","06:30 - 07:00","Population aged 15 years and over at work","Number","140"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","07:01 - 07:30","All persons","Number","181"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","07:01 - 07:30","Population aged 15 years and over at work","Number","167"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","07:31 - 08:00","All persons","Number","256"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","07:31 - 08:00","Population aged 15 years and over at work","Number","219"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","08:01 - 08:30","All persons","Number","346"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","08:01 - 08:30","Population aged 15 years and over at work","Number","235"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","34"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","70"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","08:31 - 09:00","All persons","Number","446"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","08:31 - 09:00","Population aged 15 years and over at work","Number","292"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","95"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","51"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","09:01 - 09:30","All persons","Number","221"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","09:01 - 09:30","Population aged 15 years and over at work","Number","137"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","76"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","After 09:30","All persons","Number","180"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","After 09:30","Population aged 15 years and over at work","Number","176"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","After 09:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","After 09:30","Students at school or college aged 19 years and over","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","Not stated","All persons","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","Not stated","Population aged 15 years and over at work","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","Not stated","Children at school aged between 5 and 12 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","Not stated","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Van","Aggregate Rural Area","Not stated","Students at school or college aged 19 years and over","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","All departure times","All persons","Number","549"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","All departure times","Population aged 15 years and over at work","Number","420"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","All departure times","Children at school aged between 5 and 12 years","Number","66"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","All departure times","Students at school or college aged between 13 and 18 years","Number","33"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","All departure times","Students at school or college aged 19 years and over","Number","30"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","Before 06:30","All persons","Number","73"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","Before 06:30","Population aged 15 years and over at work","Number","70"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","Before 06:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","Before 06:30","Students at school or college aged between 13 and 18 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","Before 06:30","Students at school or college aged 19 years and over","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","06:30 - 07:00","All persons","Number","53"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","06:30 - 07:00","Population aged 15 years and over at work","Number","51"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","06:30 - 07:00","Students at school or college aged 19 years and over","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","07:01 - 07:30","All persons","Number","32"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","07:01 - 07:30","Population aged 15 years and over at work","Number","32"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","07:01 - 07:30","Students at school or college aged 19 years and over","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","07:31 - 08:00","All persons","Number","56"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","07:31 - 08:00","Population aged 15 years and over at work","Number","43"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","07:31 - 08:00","Students at school or college aged 19 years and over","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","08:01 - 08:30","All persons","Number","86"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","08:01 - 08:30","Population aged 15 years and over at work","Number","45"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","08:01 - 08:30","Students at school or college aged 19 years and over","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","08:31 - 09:00","All persons","Number","93"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","08:31 - 09:00","Population aged 15 years and over at work","Number","50"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","08:31 - 09:00","Students at school or college aged 19 years and over","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","09:01 - 09:30","All persons","Number","40"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","09:01 - 09:30","Population aged 15 years and over at work","Number","24"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","09:01 - 09:30","Students at school or college aged 19 years and over","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","After 09:30","All persons","Number","84"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","After 09:30","Population aged 15 years and over at work","Number","78"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","After 09:30","Children at school aged between 5 and 12 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","After 09:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","After 09:30","Students at school or college aged 19 years and over","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","Not stated","All persons","Number","32"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","Not stated","Population aged 15 years and over at work","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","Not stated","Children at school aged between 5 and 12 years","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","Not stated","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","State","Not stated","Students at school or college aged 19 years and over","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","All departure times","All persons","Number","335"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","All departure times","Population aged 15 years and over at work","Number","269"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","All departure times","Children at school aged between 5 and 12 years","Number","39"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","All departure times","Students at school or college aged between 13 and 18 years","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","All departure times","Students at school or college aged 19 years and over","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","Before 06:30","All persons","Number","51"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","Before 06:30","Population aged 15 years and over at work","Number","49"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","Before 06:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","Before 06:30","Students at school or college aged 19 years and over","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","06:30 - 07:00","All persons","Number","31"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","06:30 - 07:00","Population aged 15 years and over at work","Number","29"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","07:01 - 07:30","All persons","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","07:01 - 07:30","Population aged 15 years and over at work","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","07:31 - 08:00","All persons","Number","36"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","07:31 - 08:00","Population aged 15 years and over at work","Number","29"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","08:01 - 08:30","All persons","Number","46"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","08:01 - 08:30","Population aged 15 years and over at work","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","08:31 - 09:00","All persons","Number","51"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","08:31 - 09:00","Population aged 15 years and over at work","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","09:01 - 09:30","All persons","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","09:01 - 09:30","Population aged 15 years and over at work","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","After 09:30","All persons","Number","61"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","After 09:30","Population aged 15 years and over at work","Number","56"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","After 09:30","Children at school aged between 5 and 12 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","After 09:30","Students at school or college aged 19 years and over","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","Not stated","All persons","Number","24"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","Not stated","Population aged 15 years and over at work","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","Not stated","Children at school aged between 5 and 12 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","Not stated","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Town Area","Not stated","Students at school or college aged 19 years and over","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","All departure times","All persons","Number","214"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","All departure times","Population aged 15 years and over at work","Number","151"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","All departure times","Children at school aged between 5 and 12 years","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","All departure times","Students at school or college aged between 13 and 18 years","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","All departure times","Students at school or college aged 19 years and over","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","Before 06:30","All persons","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","Before 06:30","Population aged 15 years and over at work","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","Before 06:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","Before 06:30","Students at school or college aged 19 years and over","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","06:30 - 07:00","All persons","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","06:30 - 07:00","Population aged 15 years and over at work","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","07:01 - 07:30","All persons","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","07:01 - 07:30","Population aged 15 years and over at work","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","07:31 - 08:00","All persons","Number","20"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","07:31 - 08:00","Population aged 15 years and over at work","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Other, incl. lorry","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","2"
