"Statistic","CensusYear","Age Group","Sex","Travelling Time","UNIT","VALUE"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Both sexes","< ¼ hour","Number","4134"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Both sexes","¼ hour - < ½ hour","Number","2884"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Both sexes","½ hour - < ¾ hour","Number","1851"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Both sexes","¾ hour - < 1 hour","Number","525"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Both sexes","1 hour - < 1½ hours","Number","491"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Both sexes","1½ hours and over","Number","213"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Both sexes","Not stated","Number","5379"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Male","Total time travelling","Number","10647"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Male","< ¼ hour","Number","2930"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Male","¼ hour - < ½ hour","Number","1950"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Male","½ hour - < ¾ hour","Number","1373"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Male","¾ hour - < 1 hour","Number","369"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Male","1 hour - < 1½ hours","Number","365"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Male","1½ hours and over","Number","165"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Male","Not stated","Number","3495"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Female","Total time travelling","Number","4830"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Female","< ¼ hour","Number","1204"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Female","¼ hour - < ½ hour","Number","934"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Female","½ hour - < ¾ hour","Number","478"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Female","¾ hour - < 1 hour","Number","156"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Female","1 hour - < 1½ hours","Number","126"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Female","1½ hours and over","Number","48"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","70 years and over","Female","Not stated","Number","1884"
