year,sex,means_of_travel,town_size,age_range,edu_status,value
2016,Male,motorbike,"Towns 10,000 population and over",19-66,at university,49
2016,Male,motorbike,"Towns 5,000 - 9,999 population",15-66,working,325
2016,Male,motorbike,"Towns 5,000 - 9,999 population",5-12,at primary school,0
2016,Male,motorbike,"Towns 5,000 - 9,999 population",13-18,at secondary school,3
2016,Male,motorbike,"Towns 5,000 - 9,999 population",19-66,at university,7
2016,Male,motorbike,"Towns 2,000 - 4,999 population",15-66,working,220
2016,Male,motorbike,"Towns 2,000 - 4,999 population",5-12,at primary school,0
2016,Male,motorbike,"Towns 2,000 - 4,999 population",13-18,at secondary school,7
2016,Male,motorbike,"Towns 2,000 - 4,999 population",19-66,at university,6
2016,Male,motorbike,"Towns 1,500 - 1,999 population",15-66,working,61
2016,Male,motorbike,"Towns 1,500 - 1,999 population",5-12,at primary school,0
2016,Male,motorbike,"Towns 1,500 - 1,999 population",13-18,at secondary school,0
2016,Male,motorbike,"Towns 1,500 - 1,999 population",19-66,at university,2
2016,Male,motorbike,"Towns 1,000 - 1,499 population",15-66,working,73
2016,Male,motorbike,"Towns 1,000 - 1,499 population",5-12,at primary school,0
2016,Male,motorbike,"Towns 1,000 - 1,499 population",13-18,at secondary school,0
2016,Male,motorbike,"Towns 1,000 - 1,499 population",19-66,at university,5
2016,Male,motorbike,Total Towns 500 - 999 population,15-66,working,99
2016,Male,motorbike,Total Towns 500 - 999 population,5-12,at primary school,0
2016,Male,motorbike,Total Towns 500 - 999 population,13-18,at secondary school,1
2016,Male,motorbike,Total Towns 500 - 999 population,19-66,at university,5
2016,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,15-66,working,71
2016,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,0
2016,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,2
2016,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,3
2016,Male,motorbike,Remainder of country,15-66,working,926
2016,Male,motorbike,Remainder of country,5-12,at primary school,0
2016,Male,motorbike,Remainder of country,13-18,at secondary school,41
2016,Male,motorbike,Remainder of country,19-66,at university,56
2016,Male,car,Dublin City and suburbs,15-66,working,117132
2016,Male,car,Dublin City and suburbs,5-12,at primary school,0
2016,Male,car,Dublin City and suburbs,13-18,at secondary school,248
2016,Male,car,Dublin City and suburbs,19-66,at university,3412
2016,Male,car,Cork City and suburbs,15-66,working,26795
2016,Male,car,Cork City and suburbs,5-12,at primary school,0
2016,Male,car,Cork City and suburbs,13-18,at secondary school,102
2016,Male,car,Cork City and suburbs,19-66,at university,1210
2016,Male,car,Limerick City and suburbs,15-66,working,10964
2016,Male,car,Limerick City and suburbs,5-12,at primary school,0
2016,Male,car,Limerick City and suburbs,13-18,at secondary school,28
2016,Male,car,Limerick City and suburbs,19-66,at university,696
2016,Male,car,Galway City and suburbs,15-66,working,8930
2016,Male,car,Galway City and suburbs,5-12,at primary school,0
2016,Male,car,Galway City and suburbs,13-18,at secondary school,6
2016,Male,car,Galway City and suburbs,19-66,at university,391
2016,Male,car,Waterford City and suburbs,15-66,working,6257
2016,Male,car,Waterford City and suburbs,5-12,at primary school,0
2016,Male,car,Waterford City and suburbs,13-18,at secondary school,30
2016,Male,car,Waterford City and suburbs,19-66,at university,286
2016,Male,car,"Towns 10,000 population and over",15-66,working,97270
2016,Male,car,"Towns 10,000 population and over",5-12,at primary school,0
2016,Male,car,"Towns 10,000 population and over",13-18,at secondary school,269
2016,Male,car,"Towns 10,000 population and over",19-66,at university,2814
2016,Male,car,"Towns 5,000 - 9,999 population",15-66,working,38369
2016,Male,car,"Towns 5,000 - 9,999 population",5-12,at primary school,0
2016,Male,car,"Towns 5,000 - 9,999 population",13-18,at secondary school,131
2016,Male,car,"Towns 5,000 - 9,999 population",19-66,at university,1030
2016,Male,car,"Towns 2,000 - 4,999 population",15-66,working,29349
2016,Male,car,"Towns 2,000 - 4,999 population",5-12,at primary school,0
2016,Male,car,"Towns 2,000 - 4,999 population",13-18,at secondary school,91
2016,Male,car,"Towns 2,000 - 4,999 population",19-66,at university,857
2016,Male,car,"Towns 1,500 - 1,999 population",15-66,working,8951
2016,Male,car,"Towns 1,500 - 1,999 population",5-12,at primary school,0
2016,Male,car,"Towns 1,500 - 1,999 population",13-18,at secondary school,38
2016,Male,car,"Towns 1,500 - 1,999 population",19-66,at university,282
2016,Male,car,"Towns 1,000 - 1,499 population",15-66,working,11430
2016,Male,car,"Towns 1,000 - 1,499 population",5-12,at primary school,0
2016,Male,car,"Towns 1,000 - 1,499 population",13-18,at secondary school,35
2016,Male,car,"Towns 1,000 - 1,499 population",19-66,at university,397
2016,Male,car,Total Towns 500 - 999 population,15-66,working,16521
2016,Male,car,Total Towns 500 - 999 population,5-12,at primary school,0
2016,Male,car,Total Towns 500 - 999 population,13-18,at secondary school,72
2016,Male,car,Total Towns 500 - 999 population,19-66,at university,546
2016,Male,car,Towns under 500 population but with at least 50 inhabited houses,15-66,working,13967
2016,Male,car,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,0
2016,Male,car,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,100
2016,Male,car,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,548
2016,Male,car,Remainder of country,15-66,working,175769
2016,Male,car,Remainder of country,5-12,at primary school,0
2016,Male,car,Remainder of country,13-18,at secondary school,1821
2016,Male,car,Remainder of country,19-66,at university,8803
2016,Male,carpool,Dublin City and suburbs,15-66,working,5522
2016,Male,carpool,Dublin City and suburbs,5-12,at primary school,25389
2016,Male,carpool,Dublin City and suburbs,13-18,at secondary school,9062
2016,Male,carpool,Dublin City and suburbs,19-66,at university,902
2016,Male,carpool,Cork City and suburbs,15-66,working,1741
2016,Male,carpool,Cork City and suburbs,5-12,at primary school,6161
2016,Male,carpool,Cork City and suburbs,13-18,at secondary school,3722
2016,Male,carpool,Cork City and suburbs,19-66,at university,894
2016,Male,carpool,Limerick City and suburbs,15-66,working,860
2016,Male,carpool,Limerick City and suburbs,5-12,at primary school,2659
2016,Male,carpool,Limerick City and suburbs,13-18,at secondary school,1378
2016,Male,carpool,Limerick City and suburbs,19-66,at university,305
2016,Male,carpool,Galway City and suburbs,15-66,working,684
2016,Male,carpool,Galway City and suburbs,5-12,at primary school,2230
2016,Male,carpool,Galway City and suburbs,13-18,at secondary school,964
2016,Male,carpool,Galway City and suburbs,19-66,at university,192
2016,Male,carpool,Waterford City and suburbs,15-66,working,707
2016,Male,carpool,Waterford City and suburbs,5-12,at primary school,1980
2016,Male,carpool,Waterford City and suburbs,13-18,at secondary school,1115
2016,Male,carpool,Waterford City and suburbs,19-66,at university,163
2016,Male,carpool,"Towns 10,000 population and over",15-66,working,6998
2016,Male,carpool,"Towns 10,000 population and over",5-12,at primary school,27203
2016,Male,carpool,"Towns 10,000 population and over",13-18,at secondary school,11585
2016,Male,carpool,"Towns 10,000 population and over",19-66,at university,1187
2016,Male,carpool,"Towns 5,000 - 9,999 population",15-66,working,3021
2016,Male,carpool,"Towns 5,000 - 9,999 population",5-12,at primary school,10651
2016,Male,carpool,"Towns 5,000 - 9,999 population",13-18,at secondary school,4029
2016,Male,carpool,"Towns 5,000 - 9,999 population",19-66,at university,490
2016,Male,carpool,"Towns 2,000 - 4,999 population",15-66,working,2308
2016,Male,carpool,"Towns 2,000 - 4,999 population",5-12,at primary school,8402
2016,Male,carpool,"Towns 2,000 - 4,999 population",13-18,at secondary school,3079
2016,Male,carpool,"Towns 2,000 - 4,999 population",19-66,at university,404
2016,Male,carpool,"Towns 1,500 - 1,999 population",15-66,working,731
2016,Male,carpool,"Towns 1,500 - 1,999 population",5-12,at primary school,2588
2016,Male,carpool,"Towns 1,500 - 1,999 population",13-18,at secondary school,1023
2016,Male,carpool,"Towns 1,500 - 1,999 population",19-66,at university,149
2016,Male,carpool,"Towns 1,000 - 1,499 population",15-66,working,849
2016,Male,carpool,"Towns 1,000 - 1,499 population",5-12,at primary school,3533
2016,Male,carpool,"Towns 1,000 - 1,499 population",13-18,at secondary school,1181
2016,Male,carpool,"Towns 1,000 - 1,499 population",19-66,at university,208
2016,Male,carpool,Total Towns 500 - 999 population,15-66,working,1144
2016,Male,carpool,Total Towns 500 - 999 population,5-12,at primary school,4658
2016,Male,carpool,Total Towns 500 - 999 population,13-18,at secondary school,1790
2016,Male,carpool,Total Towns 500 - 999 population,19-66,at university,302
2016,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,15-66,working,934
2016,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,3956
2016,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,1566
2016,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,272
2016,Male,carpool,Remainder of country,15-66,working,7852
2016,Male,carpool,Remainder of country,5-12,at primary school,66480
2016,Male,carpool,Remainder of country,13-18,at secondary school,31128
2016,Male,carpool,Remainder of country,19-66,at university,3471
2016,Male,truck,Dublin City and suburbs,15-66,working,14825
2016,Male,truck,Dublin City and suburbs,5-12,at primary school,74
2016,Male,truck,Dublin City and suburbs,13-18,at secondary school,24
2016,Male,truck,Dublin City and suburbs,19-66,at university,25
2016,Male,truck,Cork City and suburbs,15-66,working,3336
2016,Male,truck,Cork City and suburbs,5-12,at primary school,16
2016,Male,truck,Cork City and suburbs,13-18,at secondary school,10
2016,Male,truck,Cork City and suburbs,19-66,at university,21
2016,Male,truck,Limerick City and suburbs,15-66,working,1164
2016,Male,truck,Limerick City and suburbs,5-12,at primary school,6
2016,Male,truck,Limerick City and suburbs,13-18,at secondary school,3
2016,Male,truck,Limerick City and suburbs,19-66,at university,16
2016,Male,truck,Galway City and suburbs,15-66,working,983
2016,Male,truck,Galway City and suburbs,5-12,at primary school,6
2016,Male,truck,Galway City and suburbs,13-18,at secondary school,8
2016,Male,truck,Galway City and suburbs,19-66,at university,12
2016,Male,truck,Waterford City and suburbs,15-66,working,789
2016,Male,truck,Waterford City and suburbs,5-12,at primary school,1
2016,Male,truck,Waterford City and suburbs,13-18,at secondary school,4
2016,Male,truck,Waterford City and suburbs,19-66,at university,7
2016,Male,truck,"Towns 10,000 population and over",15-66,working,14472
2016,Male,truck,"Towns 10,000 population and over",5-12,at primary school,74
2016,Male,truck,"Towns 10,000 population and over",13-18,at secondary school,43
2016,Male,truck,"Towns 10,000 population and over",19-66,at university,63
2016,Male,truck,"Towns 5,000 - 9,999 population",15-66,working,6428
2016,Male,truck,"Towns 5,000 - 9,999 population",5-12,at primary school,29
2016,Male,truck,"Towns 5,000 - 9,999 population",13-18,at secondary school,18
2016,Male,truck,"Towns 5,000 - 9,999 population",19-66,at university,17
2016,Male,truck,"Towns 2,000 - 4,999 population",15-66,working,6011
2016,Male,truck,"Towns 2,000 - 4,999 population",5-12,at primary school,36
2016,Male,truck,"Towns 2,000 - 4,999 population",13-18,at secondary school,10
2016,Male,truck,"Towns 2,000 - 4,999 population",19-66,at university,33
2016,Male,truck,"Towns 1,500 - 1,999 population",15-66,working,1857
2016,Male,truck,"Towns 1,500 - 1,999 population",5-12,at primary school,8
2016,Male,truck,"Towns 1,500 - 1,999 population",13-18,at secondary school,3
2016,Male,truck,"Towns 1,500 - 1,999 population",19-66,at university,9
2016,Male,truck,"Towns 1,000 - 1,499 population",15-66,working,2682
2016,Male,truck,"Towns 1,000 - 1,499 population",5-12,at primary school,11
2016,Male,truck,"Towns 1,000 - 1,499 population",13-18,at secondary school,7
2016,Male,truck,"Towns 1,000 - 1,499 population",19-66,at university,7
2016,Male,truck,Total Towns 500 - 999 population,15-66,working,4062
2016,Male,truck,Total Towns 500 - 999 population,5-12,at primary school,11
2016,Male,truck,Total Towns 500 - 999 population,13-18,at secondary school,5
2016,Male,truck,Total Towns 500 - 999 population,19-66,at university,24
2016,Male,truck,Towns under 500 population but with at least 50 inhabited houses,15-66,working,4053
2016,Male,truck,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,7
2016,Male,truck,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,6
2016,Male,truck,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,24
2016,Male,truck,Remainder of country,15-66,working,62686
2016,Male,truck,Remainder of country,5-12,at primary school,206
2016,Male,truck,Remainder of country,13-18,at secondary school,203
2016,Male,truck,Remainder of country,19-66,at university,418
2016,Male,truck,Dublin City and suburbs,15-66,working,702
2016,Male,truck,Dublin City and suburbs,5-12,at primary school,16
2016,Male,truck,Dublin City and suburbs,13-18,at secondary school,7
2016,Male,truck,Dublin City and suburbs,19-66,at university,15
2016,Male,truck,Cork City and suburbs,15-66,working,219
2016,Male,truck,Cork City and suburbs,5-12,at primary school,9
2016,Male,truck,Cork City and suburbs,13-18,at secondary school,8
2016,Male,truck,Cork City and suburbs,19-66,at university,2
2016,Male,truck,Limerick City and suburbs,15-66,working,51
2016,Male,truck,Limerick City and suburbs,5-12,at primary school,5
2016,Male,truck,Limerick City and suburbs,13-18,at secondary school,2
2016,Male,truck,Limerick City and suburbs,19-66,at university,2
2016,Male,truck,Galway City and suburbs,15-66,working,64
2016,Male,truck,Galway City and suburbs,5-12,at primary school,1
2016,Male,truck,Galway City and suburbs,13-18,at secondary school,0
2016,Male,truck,Galway City and suburbs,19-66,at university,1
2016,Male,truck,Waterford City and suburbs,15-66,working,35
2016,Male,truck,Waterford City and suburbs,5-12,at primary school,2
2016,Male,truck,Waterford City and suburbs,13-18,at secondary school,0
2016,Male,truck,Waterford City and suburbs,19-66,at university,0
2016,Male,truck,"Towns 10,000 population and over",15-66,working,747
2016,Male,truck,"Towns 10,000 population and over",5-12,at primary school,14
2016,Male,truck,"Towns 10,000 population and over",13-18,at secondary school,5
2016,Male,truck,"Towns 10,000 population and over",19-66,at university,1
2016,Male,truck,"Towns 5,000 - 9,999 population",15-66,working,428
2016,Male,truck,"Towns 5,000 - 9,999 population",5-12,at primary school,7
2016,Male,truck,"Towns 5,000 - 9,999 population",13-18,at secondary school,1
2016,Male,truck,"Towns 5,000 - 9,999 population",19-66,at university,1
2016,Male,truck,"Towns 2,000 - 4,999 population",15-66,working,353
2016,Male,truck,"Towns 2,000 - 4,999 population",5-12,at primary school,2
2016,Male,truck,"Towns 2,000 - 4,999 population",13-18,at secondary school,3
2016,Male,truck,"Towns 2,000 - 4,999 population",19-66,at university,0
2016,Male,truck,"Towns 1,500 - 1,999 population",15-66,working,142
2016,Male,truck,"Towns 1,500 - 1,999 population",5-12,at primary school,6
2016,Male,truck,"Towns 1,500 - 1,999 population",13-18,at secondary school,0
2016,Male,truck,"Towns 1,500 - 1,999 population",19-66,at university,0
2016,Male,truck,"Towns 1,000 - 1,499 population",15-66,working,234
2016,Male,truck,"Towns 1,000 - 1,499 population",5-12,at primary school,2
2016,Male,truck,"Towns 1,000 - 1,499 population",13-18,at secondary school,0
2016,Male,truck,"Towns 1,000 - 1,499 population",19-66,at university,1
2016,Male,truck,Total Towns 500 - 999 population,15-66,working,335
2016,Male,truck,Total Towns 500 - 999 population,5-12,at primary school,2
2016,Male,truck,Total Towns 500 - 999 population,13-18,at secondary school,2
2016,Male,truck,Total Towns 500 - 999 population,19-66,at university,0
2016,Male,truck,Towns under 500 population but with at least 50 inhabited houses,15-66,working,362
2016,Male,truck,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,4
2016,Male,truck,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,2
2016,Male,truck,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,3
2016,Male,truck,Remainder of country,15-66,working,7501
2016,Male,truck,Remainder of country,5-12,at primary school,18
2016,Male,truck,Remainder of country,13-18,at secondary school,27
2016,Male,truck,Remainder of country,19-66,at university,24
2016,Male,remote,Dublin City and suburbs,15-66,working,6528
2016,Male,remote,Dublin City and suburbs,5-12,at primary school,32
2016,Male,remote,Dublin City and suburbs,13-18,at secondary school,20
2016,Male,remote,Dublin City and suburbs,19-66,at university,62
2016,Male,remote,Cork City and suburbs,15-66,working,1126
2016,Male,remote,Cork City and suburbs,5-12,at primary school,5
2016,Male,remote,Cork City and suburbs,13-18,at secondary school,5
2016,Male,remote,Cork City and suburbs,19-66,at university,9
2016,Male,remote,Limerick City and suburbs,15-66,working,470
2016,Male,remote,Limerick City and suburbs,5-12,at primary school,1
2016,Male,remote,Limerick City and suburbs,13-18,at secondary school,3
2016,Male,remote,Limerick City and suburbs,19-66,at university,5
2016,Male,remote,Galway City and suburbs,15-66,working,524
2016,Male,remote,Galway City and suburbs,5-12,at primary school,1
2016,Male,remote,Galway City and suburbs,13-18,at secondary school,3
2016,Male,remote,Galway City and suburbs,19-66,at university,3
2016,Male,remote,Waterford City and suburbs,15-66,working,296
2016,Male,remote,Waterford City and suburbs,5-12,at primary school,1
2016,Male,remote,Waterford City and suburbs,13-18,at secondary school,0
2016,Male,remote,Waterford City and suburbs,19-66,at university,2
2016,Male,remote,"Towns 10,000 population and over",15-66,working,4087
2016,Male,remote,"Towns 10,000 population and over",5-12,at primary school,14
2016,Male,remote,"Towns 10,000 population and over",13-18,at secondary school,11
2016,Male,remote,"Towns 10,000 population and over",19-66,at university,34
2016,Male,remote,"Towns 5,000 - 9,999 population",15-66,working,1627
2016,Male,remote,"Towns 5,000 - 9,999 population",5-12,at primary school,5
2016,Male,remote,"Towns 5,000 - 9,999 population",13-18,at secondary school,3
2016,Male,remote,"Towns 5,000 - 9,999 population",19-66,at university,11
2016,Male,remote,"Towns 2,000 - 4,999 population",15-66,working,1477
2016,Male,remote,"Towns 2,000 - 4,999 population",5-12,at primary school,10
2016,Male,remote,"Towns 2,000 - 4,999 population",13-18,at secondary school,6
2016,Male,remote,"Towns 2,000 - 4,999 population",19-66,at university,8
2016,Male,remote,"Towns 1,500 - 1,999 population",15-66,working,484
2016,Male,remote,"Towns 1,500 - 1,999 population",5-12,at primary school,4
2016,Male,remote,"Towns 1,500 - 1,999 population",13-18,at secondary school,1
2016,Male,remote,"Towns 1,500 - 1,999 population",19-66,at university,0
2016,Male,remote,"Towns 1,000 - 1,499 population",15-66,working,721
2016,Male,remote,"Towns 1,000 - 1,499 population",5-12,at primary school,3
2016,Male,remote,"Towns 1,000 - 1,499 population",13-18,at secondary school,3
2016,Male,remote,"Towns 1,000 - 1,499 population",19-66,at university,5
2016,Male,remote,Total Towns 500 - 999 population,15-66,working,1135
2016,Male,remote,Total Towns 500 - 999 population,5-12,at primary school,6
2016,Male,remote,Total Towns 500 - 999 population,13-18,at secondary school,3
2016,Male,remote,Total Towns 500 - 999 population,19-66,at university,3
2016,Male,remote,Towns under 500 population but with at least 50 inhabited houses,15-66,working,1323
2016,Male,remote,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,2
2016,Male,remote,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,2
2016,Male,remote,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,7
2016,Male,remote,Remainder of country,15-66,working,45810
2016,Male,remote,Remainder of country,5-12,at primary school,63
2016,Male,remote,Remainder of country,13-18,at secondary school,54
2016,Male,remote,Remainder of country,19-66,at university,95
2016,Female,walking,Dublin City and suburbs,15-66,working,38414
2016,Female,walking,Dublin City and suburbs,5-12,at primary school,23103
2016,Female,walking,Dublin City and suburbs,13-18,at secondary school,12558
2016,Female,walking,Dublin City and suburbs,19-66,at university,7085
2016,Female,walking,Cork City and suburbs,15-66,working,6447
2016,Female,walking,Cork City and suburbs,5-12,at primary school,2668
2016,Female,walking,Cork City and suburbs,13-18,at secondary school,1623
2016,Female,walking,Cork City and suburbs,19-66,at university,2667
2016,Female,walking,Limerick City and suburbs,15-66,working,2763
2016,Female,walking,Limerick City and suburbs,5-12,at primary school,1522
2016,Female,walking,Limerick City and suburbs,13-18,at secondary school,832
2016,Female,walking,Limerick City and suburbs,19-66,at university,1164
2016,Female,walking,Galway City and suburbs,15-66,working,3016
2016,Female,walking,Galway City and suburbs,5-12,at primary school,727
2016,Female,walking,Galway City and suburbs,13-18,at secondary school,431
2016,Female,walking,Galway City and suburbs,19-66,at university,1659
2016,Female,walking,Waterford City and suburbs,15-66,working,1410
2016,Female,walking,Waterford City and suburbs,5-12,at primary school,645
2016,Female,walking,Waterford City and suburbs,13-18,at secondary school,557
2016,Female,walking,Waterford City and suburbs,19-66,at university,499
2016,Female,walking,"Towns 10,000 population and over",15-66,working,20424
2016,Female,walking,"Towns 10,000 population and over",5-12,at primary school,13390
2016,Female,walking,"Towns 10,000 population and over",13-18,at secondary school,9605
2016,Female,walking,"Towns 10,000 population and over",19-66,at university,4002
2016,Female,walking,"Towns 5,000 - 9,999 population",15-66,working,6754
2016,Female,walking,"Towns 5,000 - 9,999 population",5-12,at primary school,5846
2016,Female,walking,"Towns 5,000 - 9,999 population",13-18,at secondary school,4288
2016,Female,walking,"Towns 5,000 - 9,999 population",19-66,at university,846
2016,Female,walking,"Towns 2,000 - 4,999 population",15-66,working,5398
2016,Female,walking,"Towns 2,000 - 4,999 population",5-12,at primary school,4430
2016,Female,walking,"Towns 2,000 - 4,999 population",13-18,at secondary school,2812
2016,Female,walking,"Towns 2,000 - 4,999 population",19-66,at university,669
2016,Female,walking,"Towns 1,500 - 1,999 population",15-66,working,1406
2016,Female,walking,"Towns 1,500 - 1,999 population",5-12,at primary school,1510
2016,Female,walking,"Towns 1,500 - 1,999 population",13-18,at secondary school,576
2016,Female,walking,"Towns 1,500 - 1,999 population",19-66,at university,251
2016,Female,walking,"Towns 1,000 - 1,499 population",15-66,working,1717
2016,Female,walking,"Towns 1,000 - 1,499 population",5-12,at primary school,1797
2016,Female,walking,"Towns 1,000 - 1,499 population",13-18,at secondary school,854
2016,Female,walking,"Towns 1,000 - 1,499 population",19-66,at university,282
2016,Female,walking,Total Towns 500 - 999 population,15-66,working,1899
2016,Female,walking,Total Towns 500 - 999 population,5-12,at primary school,2888
2016,Female,walking,Total Towns 500 - 999 population,13-18,at secondary school,647
2016,Female,walking,Total Towns 500 - 999 population,19-66,at university,356
2016,Female,walking,Towns under 500 population but with at least 50 inhabited houses,15-66,working,1371
2016,Female,walking,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,2205
2016,Female,walking,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,224
2016,Female,walking,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,403
2016,Female,walking,Remainder of country,15-66,working,4495
2016,Female,walking,Remainder of country,5-12,at primary school,2723
2016,Female,walking,Remainder of country,13-18,at secondary school,1490
2016,Female,walking,Remainder of country,19-66,at university,6445
2016,Female,bike,Dublin City and suburbs,15-66,working,11226
2016,Female,bike,Dublin City and suburbs,5-12,at primary school,1269
2016,Female,bike,Dublin City and suburbs,13-18,at secondary school,423
2016,Female,bike,Dublin City and suburbs,19-66,at university,2046
2016,Female,bike,Cork City and suburbs,15-66,working,664
2016,Female,bike,Cork City and suburbs,5-12,at primary school,40
2016,Female,bike,Cork City and suburbs,13-18,at secondary school,9
2016,Female,bike,Cork City and suburbs,19-66,at university,233
2016,Female,bike,Limerick City and suburbs,15-66,working,188
2016,Female,bike,Limerick City and suburbs,5-12,at primary school,26
2016,Female,bike,Limerick City and suburbs,13-18,at secondary school,6
2016,Female,bike,Limerick City and suburbs,19-66,at university,91
2016,Female,bike,Galway City and suburbs,15-66,working,592
2016,Female,bike,Galway City and suburbs,5-12,at primary school,55
2016,Female,bike,Galway City and suburbs,13-18,at secondary school,32
2016,Female,bike,Galway City and suburbs,19-66,at university,233
2016,Female,bike,Waterford City and suburbs,15-66,working,60
2016,Female,bike,Waterford City and suburbs,5-12,at primary school,7
2016,Female,bike,Waterford City and suburbs,13-18,at secondary school,5
2016,Female,bike,Waterford City and suburbs,19-66,at university,24
2016,Female,bike,"Towns 10,000 population and over",15-66,working,1396
2016,Female,bike,"Towns 10,000 population and over",5-12,at primary school,398
2016,Female,bike,"Towns 10,000 population and over",13-18,at secondary school,81
2016,Female,bike,"Towns 10,000 population and over",19-66,at university,209
2016,Female,bike,"Towns 5,000 - 9,999 population",15-66,working,309
2016,Female,bike,"Towns 5,000 - 9,999 population",5-12,at primary school,174
2016,Female,bike,"Towns 5,000 - 9,999 population",13-18,at secondary school,37
2016,Female,bike,"Towns 5,000 - 9,999 population",19-66,at university,37
2016,Female,bike,"Towns 2,000 - 4,999 population",15-66,working,205
2016,Female,bike,"Towns 2,000 - 4,999 population",5-12,at primary school,86
2016,Female,bike,"Towns 2,000 - 4,999 population",13-18,at secondary school,11
2016,Female,bike,"Towns 2,000 - 4,999 population",19-66,at university,34
2016,Female,bike,"Towns 1,500 - 1,999 population",15-66,working,51
2016,Female,bike,"Towns 1,500 - 1,999 population",5-12,at primary school,25
2016,Female,bike,"Towns 1,500 - 1,999 population",13-18,at secondary school,3
2016,Female,bike,"Towns 1,500 - 1,999 population",19-66,at university,10
2016,Female,bike,"Towns 1,000 - 1,499 population",15-66,working,64
2016,Female,bike,"Towns 1,000 - 1,499 population",5-12,at primary school,43
2016,Female,bike,"Towns 1,000 - 1,499 population",13-18,at secondary school,7
2016,Female,bike,"Towns 1,000 - 1,499 population",19-66,at university,9
2016,Female,bike,Total Towns 500 - 999 population,15-66,working,56
2016,Female,bike,Total Towns 500 - 999 population,5-12,at primary school,50
2016,Female,bike,Total Towns 500 - 999 population,13-18,at secondary school,1
2016,Female,bike,Total Towns 500 - 999 population,19-66,at university,16
2016,Female,bike,Towns under 500 population but with at least 50 inhabited houses,15-66,working,65
2016,Female,bike,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,31
2016,Female,bike,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,2
2016,Female,bike,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,21
2016,Female,bike,Remainder of country,15-66,working,620
2016,Female,bike,Remainder of country,5-12,at primary school,264
2016,Female,bike,Remainder of country,13-18,at secondary school,77
2016,Female,bike,Remainder of country,19-66,at university,392
2016,Female,bus,Dublin City and suburbs,15-66,working,39418
2016,Female,bus,Dublin City and suburbs,5-12,at primary school,2532
2016,Female,bus,Dublin City and suburbs,13-18,at secondary school,8560
2016,Female,bus,Dublin City and suburbs,19-66,at university,10998
2016,Female,bus,Cork City and suburbs,15-66,working,3726
2016,Female,bus,Cork City and suburbs,5-12,at primary school,325
2016,Female,bus,Cork City and suburbs,13-18,at secondary school,939
2016,Female,bus,Cork City and suburbs,19-66,at university,1158
2016,Female,bus,Limerick City and suburbs,15-66,working,896
2016,Female,bus,Limerick City and suburbs,5-12,at primary school,175
2016,Female,bus,Limerick City and suburbs,13-18,at secondary school,628
2016,Female,bus,Limerick City and suburbs,19-66,at university,454
2016,Female,bus,Galway City and suburbs,15-66,working,1539
2016,Female,bus,Galway City and suburbs,5-12,at primary school,196
2016,Female,bus,Galway City and suburbs,13-18,at secondary school,571
2016,Female,bus,Galway City and suburbs,19-66,at university,441
2016,Female,bus,Waterford City and suburbs,15-66,working,282
2016,Female,bus,Waterford City and suburbs,5-12,at primary school,92
2016,Female,bus,Waterford City and suburbs,13-18,at secondary school,164
2016,Female,bus,Waterford City and suburbs,19-66,at university,132
2016,Female,bus,"Towns 10,000 population and over",15-66,working,7964
2016,Female,bus,"Towns 10,000 population and over",5-12,at primary school,3678
2016,Female,bus,"Towns 10,000 population and over",13-18,at secondary school,4060
2016,Female,bus,"Towns 10,000 population and over",19-66,at university,3629
2016,Female,bus,"Towns 5,000 - 9,999 population",15-66,working,2437
2016,Female,bus,"Towns 5,000 - 9,999 population",5-12,at primary school,1294
2016,Female,bus,"Towns 5,000 - 9,999 population",13-18,at secondary school,1493
2016,Female,bus,"Towns 5,000 - 9,999 population",19-66,at university,1253
2016,Female,bus,"Towns 2,000 - 4,999 population",15-66,working,1293
