"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town Size","At Work School or College","UNIT","VALUE"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Cork City and suburbs","Population aged 15 years and over at work","Number","49"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","4"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Cork City and suburbs","Students at school or college aged 19 years and over","Number","8"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Limerick City and suburbs","All persons","Number","26"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Limerick City and suburbs","Population aged 15 years and over at work","Number","23"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Galway City and suburbs","All persons","Number","21"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Galway City and suburbs","Population aged 15 years and over at work","Number","18"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Galway City and suburbs","Students at school or college aged 19 years and over","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Waterford City and suburbs","All persons","Number","13"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Waterford City and suburbs","Population aged 15 years and over at work","Number","10"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","2"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 10,000 population and over","All persons","Number","205"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 10,000 population and over","Population aged 15 years and over at work","Number","179"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","15"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","11"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 5,000 - 9,999 population","All persons","Number","78"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","76"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 2,000 - 4,999 population","All persons","Number","50"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","47"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 1,500 - 1,999 population","All persons","Number","15"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","15"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 1,000 - 1,499 population","All persons","Number","17"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","15"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Total Towns 500 - 999 population","All persons","Number","32"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","27"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","4"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","30"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","28"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Remainder of country","All persons","Number","325"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Remainder of country","Population aged 15 years and over at work","Number","277"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Remainder of country","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Remainder of country","Students at school or college aged between 13 and 18 years","Number","26"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motorcycle or scooter","Remainder of country","Students at school or college aged 19 years and over","Number","22"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","State","All persons","Number","616494"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","State","Population aged 15 years and over at work","Number","590927"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","State","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","State","Students at school or college aged between 13 and 18 years","Number","2068"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","State","Students at school or college aged 19 years and over","Number","23499"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Dublin City and suburbs","All persons","Number","115782"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Dublin City and suburbs","Population aged 15 years and over at work","Number","111490"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","274"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","4018"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Cork City and suburbs","All persons","Number","26093"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Cork City and suburbs","Population aged 15 years and over at work","Number","25013"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","58"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Cork City and suburbs","Students at school or college aged 19 years and over","Number","1022"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Limerick City and suburbs","All persons","Number","10679"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Limerick City and suburbs","Population aged 15 years and over at work","Number","9954"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","38"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","687"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Galway City and suburbs","All persons","Number","9801"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Galway City and suburbs","Population aged 15 years and over at work","Number","9352"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","15"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Galway City and suburbs","Students at school or college aged 19 years and over","Number","434"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Waterford City and suburbs","All persons","Number","6665"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Waterford City and suburbs","Population aged 15 years and over at work","Number","6337"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","19"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","309"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 10,000 population and over","All persons","Number","97550"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 10,000 population and over","Population aged 15 years and over at work","Number","93946"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","237"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","3367"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 5,000 - 9,999 population","All persons","Number","38089"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","36661"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","119"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","1309"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 2,000 - 4,999 population","All persons","Number","30716"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","29574"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","90"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","1052"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 1,500 - 1,999 population","All persons","Number","9727"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","9335"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","26"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","366"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 1,000 - 1,499 population","All persons","Number","12985"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","12468"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","31"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","486"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Total Towns 500 - 999 population","All persons","Number","18613"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","17901"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","49"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","663"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","16945"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","16215"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","54"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","676"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Remainder of country","All persons","Number","222849"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Remainder of country","Population aged 15 years and over at work","Number","212681"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Remainder of country","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Remainder of country","Students at school or college aged between 13 and 18 years","Number","1058"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Driver","Remainder of country","Students at school or college aged 19 years and over","Number","9110"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","State","All persons","Number","290452"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","State","Population aged 15 years and over at work","Number","43984"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","State","Children at school aged between 5 and 12 years","Number","161149"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","State","Students at school or college aged between 13 and 18 years","Number","75133"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","State","Students at school or college aged 19 years and over","Number","10186"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Dublin City and suburbs","All persons","Number","45939"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Dublin City and suburbs","Population aged 15 years and over at work","Number","8498"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","25382"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","10916"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","1143"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Cork City and suburbs","All persons","Number","13384"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Cork City and suburbs","Population aged 15 years and over at work","Number","2744"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","6019"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","3641"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Cork City and suburbs","Students at school or college aged 19 years and over","Number","980"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Limerick City and suburbs","All persons","Number","5551"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Limerick City and suburbs","Population aged 15 years and over at work","Number","1180"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","2553"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","1448"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","370"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Galway City and suburbs","All persons","Number","4568"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Galway City and suburbs","Population aged 15 years and over at work","Number","1019"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","2145"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","1130"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Galway City and suburbs","Students at school or college aged 19 years and over","Number","274"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Waterford City and suburbs","All persons","Number","4011"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Waterford City and suburbs","Population aged 15 years and over at work","Number","835"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","1985"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","1002"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","189"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 10,000 population and over","All persons","Number","50148"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 10,000 population and over","Population aged 15 years and over at work","Number","9509"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","26640"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","12573"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","1426"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 5,000 - 9,999 population","All persons","Number","18915"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","3507"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","10395"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","4470"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","543"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 2,000 - 4,999 population","All persons","Number","14479"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","2462"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","8177"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","3397"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","443"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 1,500 - 1,999 population","All persons","Number","4638"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","715"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","2630"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","1102"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","191"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 1,000 - 1,499 population","All persons","Number","5800"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","953"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","3386"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","1243"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","218"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Total Towns 500 - 999 population","All persons","Number","7984"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","1294"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","4502"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","1861"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","327"
"Population  Usually Resident and Present in the State 2011 to 2016","2016","Female","Motor car: Passenger","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","6934"
