"Statistic","CensusYear","Sex","County of Usual Residence","Travelling Time","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","732"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","¾ hour - < 1 hour","All persons","Number","976"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","775"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","17"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","34"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","150"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","1 hour - < 1½ hours","All persons","Number","658"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","502"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","121"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","1½ hours and over","All persons","Number","165"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","1½ hours and over","Population aged 15 years and over at work","Number","125"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","1½ hours and over","Children at school aged between 5 and 12 years","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","1½ hours and over","Students at school or college aged 19 years and over","Number","30"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","Not stated","All persons","Number","2614"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","Not stated","Population aged 15 years and over at work","Number","1784"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","Not stated","Children at school aged between 5 and 12 years","Number","372"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","Not stated","Students at school or college aged between 13 and 18 years","Number","190"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork City","Not stated","Students at school or college aged 19 years and over","Number","268"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","Total time travelling","All persons","Number","126767"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","Total time travelling","Population aged 15 years and over at work","Number","77232"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","Total time travelling","Children at school aged between 5 and 12 years","Number","25663"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","Total time travelling","Students at school or college aged between 13 and 18 years","Number","16032"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","Total time travelling","Students at school or college aged 19 years and over","Number","7840"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","< ¼ hour","All persons","Number","44142"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","< ¼ hour","Population aged 15 years and over at work","Number","18995"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","< ¼ hour","Children at school aged between 5 and 12 years","Number","17653"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","6065"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","< ¼ hour","Students at school or college aged 19 years and over","Number","1429"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","¼ hour - < ½ hour","All persons","Number","38542"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","25269"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","5287"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","5891"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","2095"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","½ hour - < ¾ hour","All persons","Number","23693"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","17887"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","1204"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","2681"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","1921"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","¾ hour - < 1 hour","All persons","Number","7627"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","6172"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","164"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","484"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","807"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","1 hour - < 1½ hours","All persons","Number","5363"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","4082"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","99"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","280"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","902"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","1½ hours and over","All persons","Number","1213"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","1½ hours and over","Population aged 15 years and over at work","Number","838"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","1½ hours and over","Children at school aged between 5 and 12 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","48"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","1½ hours and over","Students at school or college aged 19 years and over","Number","302"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","Not stated","All persons","Number","6187"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","Not stated","Population aged 15 years and over at work","Number","3989"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","Not stated","Children at school aged between 5 and 12 years","Number","1231"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","Not stated","Students at school or college aged between 13 and 18 years","Number","583"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Cork County","Not stated","Students at school or college aged 19 years and over","Number","384"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","Total time travelling","All persons","Number","41358"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","Total time travelling","Population aged 15 years and over at work","Number","25514"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","Total time travelling","Children at school aged between 5 and 12 years","Number","7852"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","Total time travelling","Students at school or college aged between 13 and 18 years","Number","5353"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","Total time travelling","Students at school or college aged 19 years and over","Number","2639"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","< ¼ hour","All persons","Number","18451"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","< ¼ hour","Population aged 15 years and over at work","Number","9524"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","< ¼ hour","Children at school aged between 5 and 12 years","Number","5651"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","2371"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","< ¼ hour","Students at school or college aged 19 years and over","Number","905"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","¼ hour - < ½ hour","All persons","Number","12123"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","8113"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1407"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","1813"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","790"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","½ hour - < ¾ hour","All persons","Number","5346"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","3957"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","254"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","717"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","418"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","¾ hour - < 1 hour","All persons","Number","1145"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","907"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","38"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","98"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","102"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","1 hour - < 1½ hours","All persons","Number","922"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","719"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","19"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","64"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","120"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","1½ hours and over","All persons","Number","538"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","1½ hours and over","Population aged 15 years and over at work","Number","334"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","1½ hours and over","Children at school aged between 5 and 12 years","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","37"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","1½ hours and over","Students at school or college aged 19 years and over","Number","158"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","Not stated","All persons","Number","2833"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","Not stated","Population aged 15 years and over at work","Number","1960"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","Not stated","Children at school aged between 5 and 12 years","Number","474"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","Not stated","Students at school or college aged between 13 and 18 years","Number","253"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Kerry","Not stated","Students at school or college aged 19 years and over","Number","146"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","Total time travelling","All persons","Number","55681"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","Total time travelling","Population aged 15 years and over at work","Number","33451"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","Total time travelling","Children at school aged between 5 and 12 years","Number","10358"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","Total time travelling","Students at school or college aged between 13 and 18 years","Number","7055"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","Total time travelling","Students at school or college aged 19 years and over","Number","4817"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","< ¼ hour","All persons","Number","19790"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","< ¼ hour","Population aged 15 years and over at work","Number","8944"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","< ¼ hour","Children at school aged between 5 and 12 years","Number","6994"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","2519"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","< ¼ hour","Students at school or college aged 19 years and over","Number","1333"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","¼ hour - < ½ hour","All persons","Number","19049"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","12346"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","2259"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","2775"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","1669"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","½ hour - < ¾ hour","All persons","Number","9066"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","6698"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","377"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","1091"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","900"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","¾ hour - < 1 hour","All persons","Number","2289"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","1811"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","46"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","186"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","246"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","1 hour - < 1½ hours","All persons","Number","1354"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","1010"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","30"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","90"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","224"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","1½ hours and over","All persons","Number","445"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","1½ hours and over","Population aged 15 years and over at work","Number","309"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","1½ hours and over","Children at school aged between 5 and 12 years","Number","12"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","24"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","1½ hours and over","Students at school or college aged 19 years and over","Number","100"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","Not stated","All persons","Number","3688"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","Not stated","Population aged 15 years and over at work","Number","2333"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","Not stated","Children at school aged between 5 and 12 years","Number","640"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","Not stated","Students at school or college aged between 13 and 18 years","Number","370"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Limerick City and County","Not stated","Students at school or college aged 19 years and over","Number","345"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","Total time travelling","All persons","Number","45217"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","Total time travelling","Population aged 15 years and over at work","Number","27164"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","Total time travelling","Children at school aged between 5 and 12 years","Number","9163"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","Total time travelling","Students at school or college aged between 13 and 18 years","Number","6169"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","Total time travelling","Students at school or college aged 19 years and over","Number","2721"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","< ¼ hour","All persons","Number","19432"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","< ¼ hour","Population aged 15 years and over at work","Number","9265"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","< ¼ hour","Children at school aged between 5 and 12 years","Number","6667"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","2701"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","< ¼ hour","Students at school or college aged 19 years and over","Number","799"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","¼ hour - < ½ hour","All persons","Number","12449"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","8060"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1601"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","2092"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","696"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","½ hour - < ¾ hour","All persons","Number","6446"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","4873"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","293"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","815"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","465"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","¾ hour - < 1 hour","All persons","Number","2078"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","1627"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","43"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","202"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","206"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","1 hour - < 1½ hours","All persons","Number","1650"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","1229"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","36"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","103"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","282"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","1½ hours and over","All persons","Number","650"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","1½ hours and over","Population aged 15 years and over at work","Number","481"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","1½ hours and over","Children at school aged between 5 and 12 years","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","1½ hours and over","Students at school or college aged 19 years and over","Number","150"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","Not stated","All persons","Number","2512"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","Not stated","Population aged 15 years and over at work","Number","1629"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","Not stated","Children at school aged between 5 and 12 years","Number","515"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","Not stated","Students at school or college aged between 13 and 18 years","Number","245"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Tipperary","Not stated","Students at school or college aged 19 years and over","Number","123"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","Total time travelling","All persons","Number","33490"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","Total time travelling","Population aged 15 years and over at work","Number","20096"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","Total time travelling","Children at school aged between 5 and 12 years","Number","6645"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","Total time travelling","Students at school or college aged between 13 and 18 years","Number","4441"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","Total time travelling","Students at school or college aged 19 years and over","Number","2308"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","< ¼ hour","All persons","Number","14245"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","< ¼ hour","Population aged 15 years and over at work","Number","7126"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","< ¼ hour","Children at school aged between 5 and 12 years","Number","4462"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","1924"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","< ¼ hour","Students at school or college aged 19 years and over","Number","733"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","¼ hour - < ½ hour","All persons","Number","11374"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","7364"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1464"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","1686"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","860"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","½ hour - < ¾ hour","All persons","Number","3550"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","2517"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","236"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","488"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","309"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","¾ hour - < 1 hour","All persons","Number","1021"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","834"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","39"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","63"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","85"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","1 hour - < 1½ hours","All persons","Number","880"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","714"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","17"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","46"
"Population Usually Resident and Present in the State 2011 to 2016","2016","Female","Waterford City and County","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","103"
